,price,location,"rooms[bed,bath]",SQm,type_p,description,link
0,"$175,000,000CLP($2,490,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",70 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549078
1,"$159,726,838CLP($1,920,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",83 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u550644
2,"$180,000,000CLP($2,140,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",84 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549632
3,"$151,465,105CLP($2,160,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",70 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u548436
4,"$250,605,901CLP($2,160,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['4', '3']",116 SqM ,Apartment,4 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549358
5,"$253,359,812CLP($1,970,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",128 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u547848
6,"$180,000,000CLP($2,570,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",70 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549386
7,"$163,857,704CLP($2,240,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",73 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549974
8,"$272,637,189CLP($2,230,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",122 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u548960
9,"$179,004,215CLP($2,630,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",68 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u551064
10,"$363,516,252CLP($2,670,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",136 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u550604
11,"$402,346,397CLP($2,280,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['5', '4']",176 SqM ,Apartment,5 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/5-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u551052
12,"$198,281,592CLP($2,330,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",85 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u550884
13,"$148,711,194CLP($1,980,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",75 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u552960
14,"$242,068,776CLP($2,780,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",87 SqM ,Apartment,2 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u549684
15,"$201,035,503CLP($2,400,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",83.49 SqM ,Apartment,3 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u551772
16,"$119,795,128CLP($3,980,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['1', '1']",30 SqM ,Apartment,1 Bedroom Apartment for sale at Providencia,https://www.fazwaz.cl/en/property-sales/1-bedroom-apartment-for-sale-at-providencia-in-santiago-santiago-u551780
